Date,Open,High,Low,Close,Adj Close,Volume
2020-09-28,3180.000000,3230.000000,3080.000000,3090.000000,3090.000000,135465800
2020-09-29,3120.000000,3160.000000,3020.000000,3040.000000,3040.000000,182697100
2020-09-30,3060.000000,3080.000000,3000.000000,3040.000000,3040.000000,167835700
2020-10-01,3090.000000,3170.000000,3060.000000,3160.000000,3160.000000,130031000
2020-10-02,3180.000000,3210.000000,3060.000000,3100.000000,3100.000000,157063600
2020-10-05,3160.000000,3170.000000,3110.000000,3160.000000,3160.000000,92722900
2020-10-06,3220.000000,3240.000000,3180.000000,3190.000000,3190.000000,120816800
2020-10-07,3160.000000,3170.000000,3080.000000,3120.000000,3120.000000,288740100
2020-10-08,3150.000000,3170.000000,3110.000000,3150.000000,3150.000000,123924000
2020-10-09,3150.000000,3170.000000,3120.000000,3150.000000,3150.000000,81127400
2020-10-12,3160.000000,3210.000000,3150.000000,3190.000000,3190.000000,156519700
2020-10-13,3190.000000,3300.000000,3150.000000,3280.000000,3280.000000,204438200
2020-10-14,3300.000000,3380.000000,3290.000000,3360.000000,3360.000000,193879700
2020-10-15,3360.000000,3380.000000,3310.000000,3310.000000,3310.000000,183294800
2020-10-16,3340.000000,3360.000000,3210.000000,3250.000000,3250.000000,140443600
2020-10-19,3260.000000,3290.000000,3230.000000,3280.000000,3280.000000,96199300
2020-10-20,3280.000000,3290.000000,3210.000000,3250.000000,3250.000000,134038300
2020-10-21,3280.000000,3310.000000,3230.000000,3240.000000,3240.000000,116981800
2020-10-22,3220.000000,3300.000000,3200.000000,3300.000000,3300.000000,160136600
2020-10-23,3350.000000,3350.000000,3270.000000,3290.000000,3290.000000,117246500
2020-10-26,3300.000000,3360.000000,3290.000000,3340.000000,3340.000000,101222500
2020-10-27,3340.000000,3400.000000,3330.000000,3360.000000,3360.000000,183306100
2020-11-02,3360.000000,3390.000000,3300.000000,3380.000000,3380.000000,156784000
2020-11-03,3390.000000,3400.000000,3360.000000,3380.000000,3380.000000,121456100
2020-11-04,3420.000000,3420.000000,3290.000000,3290.000000,3290.000000,138230100
2020-11-05,3370.000000,3490.000000,3360.000000,3490.000000,3490.000000,234792600
2020-11-06,3510.000000,3600.000000,3470.000000,3560.000000,3560.000000,268767800
2020-11-09,3680.000000,3690.000000,3580.000000,3690.000000,3690.000000,257455400
2020-11-10,3800.000000,4010.000000,3770.000000,4000.000000,4000.000000,565562100
2020-11-11,3970.000000,4190.000000,3950.000000,4120.000000,4120.000000,357098000
2020-11-12,4100.000000,4100.000000,3920.000000,3950.000000,3950.000000,333297500
2020-11-13,3970.000000,4080.000000,3960.000000,4000.000000,4000.000000,237374000
